case_id;activity;timestamp
25;third recipe submitted;2022-09-04 12:35:13.168712
25;revision;2022-09-04 12:37:00.912993
25;third recipe submitted;2022-09-04 12:41:03.673407
25;revision;2022-09-04 12:42:29.049449
26;1st recipe submitted;2022-09-04 12:36:03.470670
26;second recipe submitted;2022-09-04 12:42:36.297847
26;third recipe submitted;2022-09-04 12:52:44.237579
27;1st recipe submitted;2022-09-04 09:48:36.508778
27;revision;2022-09-04 09:49:20.701815
27;second recipe submitted;2022-09-04 10:12:50.287487
27;third recipe submitted;2022-09-04 10:32:48.905696
28;1st recipe submitted;2022-09-04 04:19:07.481287
28;revision;2022-09-04 04:23:47.028711
28;second recipe submitted;2022-09-04 04:31:05.405274
28;third recipe submitted;2022-09-04 04:34:16.096644
28;third recipe submitted;2022-09-04 04:38:42.628517
28;third recipe submitted;2022-09-04 04:42:25.558874
29;1st recipe submitted;2022-09-04 08:02:11.662367
29;revision;2022-09-04 08:05:02.642570
29;second recipe submitted;2022-09-04 08:14:16.215635
29;revision;2022-09-04 08:15:18.984683
29;third recipe submitted;2022-09-04 08:23:07.698826
29;revision;2022-09-04 08:24:56.984007
30;1st recipe submitted;2022-09-04 09:17:32.020104
30;revision;2022-09-04 09:21:36.001651
30;second recipe submitted;2022-09-04 09:38:03.295733
30;third recipe submitted;2022-09-04 09:48:10.942862
31;1st recipe submitted;2022-09-04 01:03:46.795075
31;revision;2022-09-04 01:06:26.244137
31;second recipe submitted;2022-09-04 01:13:32.779588
31;revision;2022-09-04 01:15:19.960318
31;third recipe submitted;2022-09-04 01:20:37.270684
31;revision;2022-09-04 01:21:56.456183
32;1st recipe submitted;2022-09-04 16:43:26.275602
32;revision;2022-09-04 16:49:01.175907
32;second recipe submitted;2022-09-04 16:58:41.958000
32;revision;2022-09-04 17:02:19.468612
32;third recipe submitted;2022-09-04 17:26:22.340427
33;1st recipe submitted;2022-09-04 04:43:57.676829
33;second recipe submitted;2022-09-04 04:57:37.477938
33;third recipe submitted;2022-09-04 05:14:47.823314
